date_hq,demande_mw,occurrence,collecte_utc
2026-09-24T01:00:00,15605,1,2026-09-24T17:18:20Z
2026-09-24T01:15:00,15465,1,2026-09-24T17:18:20Z
2026-09-24T01:30:00,15325,1,2026-09-24T17:18:20Z
2026-09-24T01:45:00,15252,1,2026-09-24T17:18:20Z
2026-09-24T02:00:00,15206,1,2026-09-24T17:18:20Z
2026-09-24T02:15:00,15197,1,2026-09-24T17:18:20Z
2026-09-24T02:30:00,15146,1,2026-09-24T17:18:20Z
2026-09-24T02:45:00,15065,1,2026-09-24T17:18:20Z
2026-09-24T03:00:00,15192,1,2026-09-24T17:18:20Z
2026-09-24T03:15:00,15388,1,2026-09-24T17:18:20Z
2026-09-24T03:30:00,15371,1,2026-09-24T17:18:20Z
2026-09-24T03:45:00,15281,1,2026-09-24T17:18:20Z
2026-09-24T04:00:00,15321,1,2026-09-24T17:18:20Z
2026-09-24T04:15:00,15637,1,2026-09-24T17:18:20Z
2026-09-24T04:30:00,15710,1,2026-09-24T17:18:20Z
2026-09-24T04:45:00,15738,1,2026-09-24T17:18:20Z
2026-09-24T05:00:00,15823,1,2026-09-24T17:18:20Z
2026-09-24T05:15:00,16360,1,2026-09-24T17:18:20Z
2026-09-24T05:30:00,16539,1,2026-09-24T17:18:20Z
2026-09-24T05:45:00,16647,1,2026-09-24T17:18:20Z
2026-09-24T06:00:00,17140,1,2026-09-24T17:18:20Z
2026-09-24T06:15:00,17873,1,2026-09-24T17:18:20Z
2026-09-24T06:30:00,18311,1,2026-09-24T17:18:20Z
2026-09-24T06:45:00,18684,1,2026-09-24T17:18:20Z
2026-09-24T07:00:00,18653,1,2026-09-24T17:18:20Z
2026-09-24T07:15:00,19133,1,2026-09-24T17:18:20Z
2026-09-24T07:30:00,19282,1,2026-09-24T17:18:20Z
2026-09-24T07:45:00,19572,1,2026-09-24T17:18:20Z
2026-09-24T08:00:00,19505,1,2026-09-24T17:18:20Z
2026-09-24T08:15:00,19222,1,2026-09-24T17:18:20Z
2026-09-24T08:30:00,19207,1,2026-09-24T17:18:20Z
2026-09-24T08:45:00,19296,1,2026-09-24T17:18:20Z
2026-09-24T09:00:00,19055,1,2026-09-24T17:18:20Z
2026-09-24T09:15:00,18861,1,2026-09-24T17:18:20Z
2026-09-24T09:30:00,18770,1,2026-09-24T17:18:20Z
2026-09-24T09:45:00,18740,1,2026-09-24T17:18:20Z
2026-09-24T10:00:00,18835,1,2026-09-24T17:18:20Z
2026-09-24T10:15:00,18781,1,2026-09-24T17:18:20Z
2026-09-24T10:30:00,18644,1,2026-09-24T17:18:20Z
2026-09-24T10:45:00,18645,1,2026-09-24T17:18:20Z
2026-09-24T11:00:00,18535,1,2026-09-24T17:18:20Z
2026-09-24T11:15:00,18564,1,2026-09-24T17:18:20Z
2026-09-24T11:30:00,18537,1,2026-09-24T17:18:20Z
2026-09-24T11:45:00,18639,1,2026-09-24T17:18:20Z
2026-09-24T12:00:00,18594,1,2026-09-24T17:18:20Z
2026-09-24T12:15:00,18555,1,2026-09-24T17:18:20Z
2026-09-24T12:30:00,18235,1,2026-09-24T17:18:20Z
2026-09-24T12:45:00,18412,1,2026-09-24T17:18:20Z
2026-09-24T13:00:00,18398,1,2026-09-24T17:18:20Z
